numGradEvals	TrainLoss	TrainCost	TrainErr	TestLoss	TestCost	TestErr
1.000000	0.237567	0.313369	6.707455	0.255463	0.331264	7.041341
2.000000	0.237625	0.313351	6.707711	0.255496	0.331222	7.062940
3.000000	0.237647	0.313348	6.710655	0.255507	0.331207	7.054300
4.000000	0.237659	0.313346	6.712191	0.255512	0.331199	7.041341
5.000000	0.237667	0.313346	6.712447	0.255516	0.331195	7.058620
6.000000	0.237672	0.313346	6.713087	0.255519	0.331192	7.058620
7.000000	0.237676	0.313346	6.713983	0.255521	0.331190	7.058620
8.000000	0.237679	0.313345	6.713983	0.255522	0.331189	7.058620
9.000000	0.237681	0.313345	6.713471	0.255524	0.331188	7.058620
10.000000	0.237683	0.313345	6.713471	0.255525	0.331187	7.058620
11.000000	0.237684	0.313345	6.714367	0.255526	0.331186	7.058620
12.000000	0.237686	0.313345	6.714367	0.255526	0.331186	7.062940
13.000000	0.237687	0.313345	6.714367	0.255527	0.331185	7.062940
14.000000	0.237688	0.313345	6.713983	0.255527	0.331185	7.062940
15.000000	0.237688	0.313344	6.714367	0.255528	0.331184	7.062940
16.000000	0.237689	0.313345	6.714111	0.255528	0.331184	7.067260
17.000000	0.237690	0.313345	6.714111	0.255528	0.331184	7.067260
18.000000	0.237690	0.313345	6.713855	0.255529	0.331183	7.067260
19.000000	0.237690	0.313345	6.713983	0.255529	0.331183	7.067260
20.000000	0.237691	0.313345	6.714751	0.255529	0.331183	7.067260
