numGradEvals	TrainLoss	TrainCost	TrainErr	TestLoss	TestCost	TestErr
1.100000	0.581182	0.581449	25.586800	0.582329	0.582596	25.821200
2.200000	0.540009	0.540686	23.908800	0.541564	0.542242	24.174000
3.300000	0.518522	0.519612	23.234400	0.520399	0.521489	23.503600
4.400000	0.505282	0.506758	22.839200	0.507344	0.508820	23.110800
5.500000	0.496668	0.498496	22.622800	0.498917	0.500745	22.846000
6.600000	0.490271	0.492421	22.401600	0.492710	0.494861	22.671200
7.700000	0.485759	0.488203	22.332400	0.488338	0.490781	22.570000
8.800000	0.482199	0.484909	22.223600	0.484869	0.487580	22.426800
9.900000	0.479873	0.482826	22.226800	0.482706	0.485659	22.467200
11.000000	0.477361	0.480537	22.090400	0.480178	0.483353	22.267200
12.100000	0.475803	0.479182	22.102800	0.478771	0.482151	22.335200
13.200000	0.474321	0.477887	22.063600	0.477352	0.480918	22.251600
14.300000	0.473025	0.476764	21.938800	0.476011	0.479750	22.146400
15.400000	0.472059	0.475957	21.926800	0.475082	0.478980	22.113200
16.500000	0.471130	0.475175	21.936800	0.474292	0.478337	22.104800
17.600000	0.470375	0.474554	21.908800	0.473565	0.477744	22.083200
18.700000	0.469678	0.473983	21.860000	0.472859	0.477164	22.056800
19.800000	0.469136	0.473558	21.834800	0.472345	0.476767	22.022400
20.900000	0.468698	0.473228	21.837200	0.471961	0.476491	22.032000
22.000000	0.468358	0.472988	21.810000	0.471585	0.476216	21.969600
23.100000	0.467906	0.472631	21.792000	0.471175	0.475901	21.981600
24.200000	0.467646	0.472458	21.797200	0.470993	0.475806	22.008000
25.300000	0.467300	0.472194	21.771200	0.470594	0.475488	21.971200
26.400000	0.467163	0.472131	21.781600	0.470552	0.475520	22.003200
27.500000	0.466821	0.471861	21.757200	0.470203	0.475244	21.982400
28.600000	0.466775	0.471882	21.745600	0.470070	0.475177	21.925600
29.700000	0.466498	0.471666	21.752000	0.469855	0.475023	21.935600
30.800000	0.466252	0.471478	21.720400	0.469609	0.474835	21.938800
31.900000	0.466076	0.471356	21.722000	0.469487	0.474766	21.933600
33.000000	0.466262	0.471594	21.718800	0.469581	0.474912	21.900400
34.100000	0.465821	0.471202	21.713200	0.469267	0.474647	21.916400
35.200000	0.465728	0.471154	21.719600	0.469197	0.474623	21.923600
36.300000	0.465704	0.471173	21.688000	0.469098	0.474566	21.910400
37.400000	0.465494	0.471003	21.708800	0.468949	0.474458	21.913200
38.500000	0.465443	0.470989	21.674400	0.468873	0.474418	21.920000
39.600000	0.465439	0.471020	21.668800	0.468852	0.474433	21.901200
40.700000	0.465477	0.471093	21.723600	0.469025	0.474641	21.949200
41.800000	0.465172	0.470821	21.689200	0.468659	0.474307	21.906400
42.900000	0.465138	0.470818	21.656000	0.468592	0.474272	21.906800
44.000000	0.465083	0.470793	21.690800	0.468594	0.474303	21.912800
45.100000	0.465006	0.470744	21.677600	0.468480	0.474218	21.905600
46.200000	0.464946	0.470711	21.671600	0.468428	0.474193	21.899200
47.300000	0.465024	0.470813	21.654000	0.468463	0.474251	21.876400
48.400000	0.464845	0.470656	21.667200	0.468329	0.474140	21.900800
49.500000	0.464793	0.470626	21.671200	0.468289	0.474122	21.908000
50.600000	0.464757	0.470611	21.676000	0.468268	0.474122	21.905200
51.700000	0.464947	0.470821	21.641200	0.468364	0.474238	21.882000
52.800000	0.464702	0.470596	21.663600	0.468187	0.474081	21.878800
53.900000	0.464661	0.470572	21.657200	0.468136	0.474047	21.893200
55.000000	0.464740	0.470671	21.649200	0.468203	0.474134	21.877200
56.100000	0.464649	0.470596	21.669600	0.468184	0.474131	21.922000
57.200000	0.464606	0.470569	21.657600	0.468073	0.474035	21.877200
58.300000	0.464554	0.470531	21.670800	0.468077	0.474054	21.898400
59.400000	0.465264	0.471255	21.781200	0.468922	0.474913	21.996800
60.500000	0.464492	0.470497	21.670800	0.468027	0.474032	21.909200
